ProductID,Product Name,Category,Price,Rating,Number of people rated the product
1,Apple Watch,Accessory,52234,4.2,444
2,Mi Charger,Charger,19838,3.2,248
3,iPhone 13,Mobile,88376,4.4,923
4,Sony Headphones,Headphones,81596,3.8,635
5,OnePlus 9,Mobile,82710,3.0,56
6,Realme Cable,Cable,940,4.7,104
7,OnePlus 9,Mobile,51222,4.8,407
8,MacBook Air,Laptop,38044,3.6,673
9,MacBook Air,Laptop,24821,3.1,690
10,Apple Watch,Accessory,13946,4.0,475
11,Logitech Mouse,Mouse,33753,3.1,640
12,Apple Watch,Accessory,19217,3.0,502
13,Dell XPS 13,Laptop,69765,3.3,51
14,OnePlus 9,Mobile,38140,4.3,107
15,HP Pavilion,Laptop,36465,3.8,186
16,Dell XPS 13,Laptop,30609,4.1,193
17,Apple Watch,Accessory,40854,3.7,792
18,Apple Watch,Accessory,60481,4.4,63
19,Samsung Galaxy Tab,Tablet,19429,3.1,808
20,HP Pavilion,Laptop,89975,3.1,535
21,HP Pavilion,Laptop,26701,4.6,820
22,Logitech Mouse,Mouse,49830,3.6,442
23,Realme Cable,Cable,579,3.7,152
24,Realme Cable,Cable,997,3.0,991
25,Logitech Mouse,Mouse,15552,3.1,457
26,Realme Cable,Cable,1325,4.8,173
27,Logitech Mouse,Mouse,74744,3.3,437
28,Mi Charger,Charger,43832,3.4,779
29,Logitech Mouse,Mouse,13528,3.2,362
30,HP Pavilion,Laptop,14413,4.9,972
31,Samsung Galaxy Tab,Tablet,27492,4.7,526
32,Mi Charger,Charger,28167,3.4,612
33,Dell XPS 13,Laptop,69313,4.0,645
34,Logitech Mouse,Mouse,51650,3.5,702
35,Samsung Galaxy Tab,Tablet,43239,4.7,705
36,Realme Cable,Cable,1036,4.8,492
37,Realme Cable,Cable,515,3.8,369
38,Realme Cable,Cable,1198,4.6,742
39,OnePlus 9,Mobile,59785,5.0,234
40,Samsung Galaxy Tab,Tablet,15797,4.3,318
41,Bose Speaker,Speaker,86244,4.1,704
42,OnePlus 9,Mobile,12909,3.2,850
43,Sony Headphones,Headphones,70751,3.5,766
44,Sony Headphones,Headphones,60052,4.5,298
45,Realme Cable,Cable,967,3.6,589
46,HP Pavilion,Laptop,46391,4.8,637
47,Sony Headphones,Headphones,10308,4.2,516
48,Bose Speaker,Speaker,87490,4.7,352
49,MacBook Air,Laptop,23885,3.8,377
50,OnePlus 9,Mobile,56317,4.8,243
51,iPhone 13,Mobile,24010,3.2,302
52,Samsung Galaxy Tab,Tablet,84424,4.9,458
53,Mi Charger,Charger,84821,3.7,165
54,MacBook Air,Laptop,59956,4.3,187
55,MacBook Air,Laptop,49173,5.0,689
56,Realme Cable,Cable,1269,4.2,254
57,MacBook Air,Laptop,71547,4.2,659
58,Realme Cable,Cable,1264,3.2,201
59,Sony Headphones,Headphones,55017,3.0,911
60,Realme Cable,Cable,711,3.5,559
61,Sony Headphones,Headphones,27046,3.4,634
62,Dell XPS 13,Laptop,27332,4.5,549
63,Dell XPS 13,Laptop,54982,4.7,268
64,Realme Cable,Cable,581,3.9,90
65,MacBook Air,Laptop,76643,4.8,889
66,HP Pavilion,Laptop,29489,4.5,455
67,HP Pavilion,Laptop,69538,4.2,706
68,Dell XPS 13,Laptop,29786,4.6,98
69,Apple Watch,Accessory,26947,3.1,592
70,Realme Cable,Cable,678,4.2,771
71,Bose Speaker,Speaker,33816,4.7,763
72,Samsung Galaxy Tab,Tablet,60157,3.7,534
73,Mi Charger,Charger,61401,4.0,834
74,Apple Watch,Accessory,51791,4.0,916
75,Samsung Galaxy Tab,Tablet,46207,4.6,269
76,Bose Speaker,Speaker,12362,4.0,67
77,Realme Cable,Cable,780,3.2,953
78,OnePlus 9,Mobile,32241,4.4,818
79,Sony Headphones,Headphones,27272,3.6,352
80,Realme Cable,Cable,1131,4.8,643
